Date,Index
2025-08-18,444.5691953295851
2025-08-19,443.1385161634797
2025-08-20,439.443990338924
2025-08-21,441.8433603134892
2025-08-22,444.5779249420718
2025-08-25,446.5492464398189
2025-08-26,441.1398203891863
2025-08-28,437.4732760482252
2025-08-29,436.57963717365794
2025-09-01,437.27821127814866
2025-09-02,436.82395345707124
2025-09-03,442.2413540197483
2025-09-04,440.2627329275969
2025-09-05,438.66033435757316
2025-09-08,437.98883693863235
2025-09-09,441.1409058722794
2025-09-10,442.8760914331382
2025-09-11,444.08667380318764
2025-09-12,446.19958759812897
2025-09-15,443.9033879982104
2025-09-16,444.6086744979559
2025-09-17,443.2437704057628
2025-09-18,449.21234657703917
2025-09-19,451.5688491332802
2025-09-22,445.2235132494003
2025-09-23,444.16173685624966
2025-09-24,440.7961362915349
2025-09-25,436.3421691612895
2025-09-26,428.2880769032816
2025-09-29,427.4521727339258
2025-09-30,426.67423614894466
2025-10-01,430.2749710837465
2025-10-03,432.20276161244846
2025-10-06,431.309875286238
2025-10-07,434.76267953327323
2025-10-08,432.89811185899737
2025-10-09,435.9463016624857
2025-10-10,443.1971357222585
2025-10-13,443.3586855808364
2025-10-14,440.0818683024316
