Date,Index
2025-08-18,444.5691953295851
2025-08-19,444.3561332542975
2025-08-20,441.639625101994
2025-08-21,447.825825335096
2025-08-22,448.37655090347045
2025-08-25,448.08132182115673
2025-08-26,441.1049664686811
2025-08-28,442.17074964149526
2025-08-29,445.10854766586243
2025-09-01,446.6837861257881
2025-09-02,445.1268397019008
2025-09-03,450.6535912510488
2025-09-04,443.65289915319784
2025-09-05,444.2173373692007
2025-09-08,446.1819971175387
2025-09-09,450.05773735491493
2025-09-10,449.3147752426743
2025-09-11,448.5239187949832
2025-09-12,449.91288732637076
2025-09-15,445.80585344517954
2025-09-16,448.6517115296207
2025-09-17,446.5181971390483
2025-09-18,453.73658431986263
2025-09-19,450.5719647665356
2025-09-22,442.04018335196196
2025-09-23,446.92699346410933
2025-09-24,444.6079634654233
2025-09-25,443.4512813161193
2025-09-26,439.5377224018292
2025-09-29,446.7104940132584
2025-09-30,446.7734077934514
2025-10-01,451.521844481658
2025-10-03,449.7014120465311
2025-10-06,446.7527280945748
2025-10-07,451.06934707422056
2025-10-08,445.4188306126003
2025-10-09,450.0896426657643
2025-10-10,454.9872621901614
2025-10-13,447.52436486683746
2025-10-14,444.10324155361377
